Counterparty
"Pilum"
"Better Bar Company"
"Corral Petroleum"
"Wales * West Utilities"
"Stonegate Pub Company"
"NMC Healthcare PLC"
"CJ CheilJedang Corp"
"China Merchant Bank *"
"Fiat"
